name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl,stop_cnt,tp_cnt,exp_cnt,composite
S1_箱体_a20_v1.3,S1-箱体突破,2,803,372,431,46.326276463262765,0.36757623941629414,-0.3109452736318241,26.187845303867398,-16.843702579666154,5.272148202680347,-3.8656042021944392,1.3638613595482527,103,269,431,49.82234692966338
S1_箱体_a20_v1.5,S1-箱体突破,2,752,350,402,46.54255319148936,0.3805223763984516,-0.3032140691327956,26.187845303867398,-16.843702579666154,5.248127118618132,-3.857441951404749,1.3605200505238824,96,255,401,49.80334238141787
S1_箱体_a15_v1.5,S1-箱体突破,2,394,175,219,44.41624365482234,0.32019173809138374,-0.6203473945409543,21.27659574468086,-14.406318082788673,5.42115139862528,-3.7559175796868476,1.4433627159297977,40,147,207,46.63736310981592
S2_底部_d20_p5_v2.0,S2-底部放量反转,2,330,165,165,50.0,0.5634325106062985,0.04580852038480465,20.053475935828867,-15.02311248073961,4.5612667820532495,-3.434401760840652,1.3281110072971691,28,125,177,50.08637103851379
S2_底部_d15_p5_v2.0,S2-底部放量反转,2,130,69,61,53.07692307692308,0.46510151154591167,0.6403415154749181,19.23743500866553,-12.384937238493709,3.9429503789534084,-3.468858682734698,1.1366708014305607,8,44,78,49.83008454565629
S2_底部_d20_p4_v1.8,S2-底部放量反转,2,401,208,193,51.87032418952619,0.5730406632122087,0.2336448598130758,20.053475935828867,-15.02311248073961,4.304960543174543,-3.448924803275694,1.2482036543927575,37,145,219,51.90089453936352
A_竞价_g3-6_p7_v1.5,A-竞价追涨,2,177,83,94,46.89265536723164,0.4262117910156075,-0.24937655860348684,29.449901768172904,-17.09090909090909,7.781238828491785,-6.068120593138889,1.2823144677266116,31,55,91,46.29826695444201
A_竞价_g3-7_p5_v1.5,A-竞价追涨,2,285,139,146,48.771929824561404,0.5474640199505927,-0.08064516129031585,29.449901768172904,-19.00532859680285,7.441684412792274,-6.0162115595356624,1.2369386181237667,51,91,143,48.84677110655938
B_龙头_r20_d8_pb50,B-龙头回调,2,5009,2302,2707,45.95727690157716,0.3176558604733502,-0.49806308799114074,30.67342199704455,-20.23346303501946,5.24550158771446,-3.872924436574678,1.3544032871329985,3011,260,1738,54.321258455276535
B_龙头_r15_d5_pb30,B-龙头回调,2,3070,1449,1621,47.19869706840391,0.4584933726568674,-0.31347962382443084,24.913892078071175,-19.264158743282344,5.235905461879464,-3.8120002222126868,1.3735323076241237,1743,196,1131,53.9176548008324
B_龙头_r20_d5_pb40,B-龙头回调,2,3323,1536,1787,46.22329220583809,0.3508292087629452,-0.5060088551549602,24.913892078071175,-19.264158743282344,5.348087803565986,-3.9445200926458264,1.355827243353881,2012,190,1121,53.44071382800808
