name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl
N22_d12_p4_v1.5,N22-V型反转,3,27,16,11,59.25925925925925,2.0762141178873628,3.2148900169204575,14.69740634005763,-12.468619246861913,6.031632567399964,-3.6771218086764197,1.640313506386412
N22_d12_p5_v1.5,N22-V型反转,3,27,16,11,59.25925925925925,2.0762141178873628,3.2148900169204575,14.69740634005763,-12.468619246861913,6.031632567399964,-3.6771218086764197,1.640313506386412
N22_d12_p6_v1.5,N22-V型反转,3,27,16,11,59.25925925925925,2.0762141178873628,3.2148900169204575,14.69740634005763,-12.468619246861913,6.031632567399964,-3.6771218086764197,1.640313506386412
N22_d15_p4_v1.5,N22-V型反转,3,76,45,31,59.210526315789465,1.5139295119184233,1.2658227848101333,15.282623866015355,-12.468619246861913,5.345460870787143,-4.047970847729717,1.3205284998001199
N22_d12_p4_v1.8,N22-V型反转,3,22,13,9,59.09090909090909,2.1551913938330354,3.2148900169204575,14.69740634005763,-12.468619246861913,6.087226957298606,-3.524415531172788,1.7271592703692957
N22_d12_p5_v1.8,N22-V型反转,3,22,13,9,59.09090909090909,2.1551913938330354,3.2148900169204575,14.69740634005763,-12.468619246861913,6.087226957298606,-3.524415531172788,1.7271592703692957
N22_d12_p6_v1.8,N22-V型反转,3,22,13,9,59.09090909090909,2.1551913938330354,3.2148900169204575,14.69740634005763,-12.468619246861913,6.087226957298606,-3.524415531172788,1.7271592703692957
N22_d15_p3_v1.2,N22-V型反转,3,110,65,45,59.09090909090909,1.554279219044048,1.0158013544018019,25.370370370370352,-12.468619246861913,5.218834994168361,-3.7389680116910693,1.3957955718931048
N22_d15_p6_v1.5,N22-V型反转,3,66,39,27,59.09090909090909,1.7144132617682935,1.2658227848101333,15.282623866015355,-12.468619246861913,5.302963461321128,-3.469048137585799,1.528650872227907
N22_d12_p2_v1.5,N22-V型反转,3,39,23,16,58.97435897435898,1.5659583134565414,1.4245014245014342,14.69740634005763,-12.468619246861913,5.4409399742590345,-4.004327823947044,1.3587648697793004
