name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl
N22_d15_p6_v1.5,N22-V型反转,4,66,46,20,69.6969696969697,1.8548363789040494,1.8867924528301883,15.038381018841584,-16.48535564853556,4.514661488585174,-4.262761373362536,1.0590931776750936
N22_d15_p5_v1.5,N22-V型反转,4,69,48,21,69.56521739130434,2.1214975523241537,1.8867924528301883,17.37622201198359,-16.48535564853556,4.982490862041474,-4.41791572702972,1.1277921920415022
N22_d15_p6_v1.3,N22-V型反转,4,73,50,23,68.4931506849315,1.5365027035517298,1.857142857142846,15.038381018841584,-16.48535564853556,4.385447085620038,-4.656854648770682,0.9417186956388494
N22_d15_p4_v1.2,N22-V型反转,4,95,65,30,68.42105263157895,2.169942570608671,1.8867924528301883,27.569444444444425,-16.48535564853556,5.27953017156397,-4.567497231461145,1.15589126911743
N22_d15_p4_v1.5,N22-V型反转,4,76,52,24,68.42105263157895,2.0407678640323583,1.8867924528301883,17.37622201198359,-16.48535564853556,4.954355483528444,-4.272005311542492,1.1597259652609315
N22_d15_p5_v1.3,N22-V型反转,4,76,52,24,68.42105263157895,1.7911687823944156,1.8867924528301883,17.37622201198359,-16.48535564853556,4.822259368924512,-4.776194155087461,1.0096447531949646
N22_d15_p4_v1.3,N22-V型反转,4,85,58,27,68.23529411764706,2.0411721589542573,1.857142857142846,27.569444444444425,-16.48535564853556,5.135865352458736,-4.606687293759066,1.1148717125680696
N22_d15_p4_v1.8,N22-V型反转,4,58,39,19,67.24137931034483,2.0087064159483425,1.329144514258096,17.37622201198359,-16.48535564853556,5.035596082880844,-4.204382900386789,1.1977015895525565
N22_d15_p5_v1.2,N22-V型反转,4,81,54,27,66.66666666666666,1.6879782514339188,1.846153846153853,17.37622201198359,-16.48535564853556,4.888875150010852,-4.713815545719949,1.0371375592856735
N22_d15_p6_v1.2,N22-V型反转,4,78,52,26,66.66666666666666,1.4456680546595915,1.846153846153853,15.038381018841584,-16.48535564853556,4.471425484567563,-4.605846805156355,0.970815069133801
N22_d15_p5_v1.8,N22-V型反转,4,56,37,19,66.07142857142857,1.9082842619257796,1.329144514258096,17.37622201198359,-16.48535564853556,5.047221453383585,-4.204382900386789,1.2004666494384368
N22_d15_p6_v1.8,N22-V型反转,4,53,35,18,66.0377358490566,1.5641469540593274,0.8460236886632888,15.038381018841584,-16.48535564853556,4.4360588820605695,-4.020126239276422,1.103462582523033
N22_d12_p2_v1.8,N22-V型反转,4,26,17,9,65.38461538461539,1.4180288397859364,1.4808362369338024,12.5,-16.48535564853556,4.596184566265754,-4.585154199120385,1.0024056698349393
N22_d15_p3_v1.8,N22-V型反转,4,63,41,22,65.07936507936508,1.8494458660518545,1.3215859030836885,18.421052631578938,-16.48535564853556,5.299007313754436,-4.57928228648477,1.1571698319175152
N22_d15_p3_v1.5,N22-V型反转,4,83,54,29,65.06024096385542,1.7917101744392414,1.4808362369338024,18.421052631578938,-16.48535564853556,5.157361810649222,-4.475365286089686,1.1523890187644157
N22_d15_p3_v1.2,N22-V型反转,4,110,71,39,64.54545454545455,1.7703452518736862,1.4808362369338024,27.569444444444425,-16.48535564853556,5.356281576420863,-4.75789780050707,1.1257664205923088
N22_d15_p2_v1.8,N22-V型反转,4,70,45,25,64.28571428571429,1.6292449210390116,1.3215859030836885,18.421052631578938,-16.48535564853556,5.000365245159271,-4.4387716623774525,1.1265200432682367
N22_d15_p3_v1.3,N22-V型反转,4,98,63,35,64.28571428571429,1.685146654488843,1.3215859030836885,27.569444444444425,-16.48535564853556,5.158836844711585,-4.56749568791209,1.129467261099881
N22_d15_p2_v1.5,N22-V型反转,4,103,66,37,64.07766990291263,1.5040266854883644,1.4839034205231583,18.421052631578938,-16.48535564853556,4.84525091412043,-4.455994911530994,1.0873555760986484
N22_d12_p4_v1.8,N22-V型反转,4,22,14,8,63.63636363636363,1.5757896988248783,1.4808362369338024,12.5,-16.48535564853556,5.132993205628975,-4.649316438082291,1.10403180209136
N22_d12_p5_v1.8,N22-V型反转,4,22,14,8,63.63636363636363,1.5757896988248783,1.4808362369338024,12.5,-16.48535564853556,5.132993205628975,-4.649316438082291,1.10403180209136
N22_d12_p6_v1.8,N22-V型反转,4,22,14,8,63.63636363636363,1.5757896988248783,1.4808362369338024,12.5,-16.48535564853556,5.132993205628975,-4.649316438082291,1.10403180209136
N22_d18_p4_v1.2,N22-V型反转,4,148,94,54,63.51351351351351,2.7082611157093015,1.846153846153853,39.03192584963953,-16.48535564853556,6.773347530494141,-4.368000421138386,1.5506746514298355
N22_d20_p6_v1.3,N22-V型反转,4,134,85,49,63.43283582089553,2.6338160244933033,1.329144514258096,41.2987012987013,-16.48535564853556,6.62105746189419,-4.2828272852837435,1.5459548146255764
N22_d20_p4_v1.2,N22-V型反转,4,183,116,67,63.387978142076506,3.0126304401567863,1.4808362369338024,41.2987012987013,-16.48535564853556,7.137432199484439,-4.128817381962734,1.728686822203671
N22_d12_p4_v1.3,N22-V型反转,4,30,19,11,63.33333333333333,2.0150222977566967,1.8867924528301883,27.569444444444425,-16.48535564853556,6.10099296092278,-5.042563393166538,1.2098991098833938
N22_d18_p4_v1.5,N22-V型反转,4,117,74,43,63.24786324786324,2.424049858931002,1.857142857142846,39.03192584963953,-16.48535564853556,6.426520419528347,-4.463922733724896,1.4396576291466792
N22_d20_p6_v1.5,N22-V型反转,4,117,74,43,63.24786324786324,2.0121344746841334,1.0909090909090757,39.03192584963953,-16.48535564853556,5.622756177686421,-4.201493572343065,1.3382755634089318
N22_d18_p4_v1.3,N22-V型反转,4,136,86,50,63.23529411764706,2.705480406238949,1.4808362369338024,39.03192584963953,-16.48535564853556,6.860195648009609,-4.440629809606588,1.5448699716352574
N22_d12_p4_v1.2,N22-V型反转,4,38,24,14,63.1578947368421,2.1169853841756834,1.8867924528301883,27.569444444444425,-16.48535564853556,6.1899167473269765,-4.865182666940818,1.2722886623328244
N22_d18_p6_v1.5,N22-V型反转,4,95,60,35,63.1578947368421,1.9839762179478873,1.4808362369338024,39.03192584963953,-16.48535564853556,5.73610310962369,-4.4482413106392045,1.2895215679743377
N22_d12_p4_v1.5,N22-V型反转,4,27,17,10,62.96296296296296,1.3194635471680793,1.4808362369338024,12.5,-16.48535564853556,5.041941319910093,-5.008748666493345,1.0066269353139625
N22_d12_p5_v1.5,N22-V型反转,4,27,17,10,62.96296296296296,1.3194635471680793,1.4808362369338024,12.5,-16.48535564853556,5.041941319910093,-5.008748666493345,1.0066269353139625
N22_d12_p6_v1.5,N22-V型反转,4,27,17,10,62.96296296296296,1.3194635471680793,1.4808362369338024,12.5,-16.48535564853556,5.041941319910093,-5.008748666493345,1.0066269353139625
N22_d20_p4_v1.3,N22-V型反转,4,170,107,63,62.94117647058823,3.0271057277393574,1.4550928248870942,41.2987012987013,-16.48535564853556,7.2654037948229,-4.17127352905333,1.7417711267838583
N22_d20_p6_v1.2,N22-V型反转,4,140,88,52,62.857142857142854,2.5354094972488994,1.329144514258096,41.2987012987013,-16.48535564853556,6.562048029614647,-4.278901865216211,1.5335822686092544
N22_d20_p4_v1.5,N22-V型反转,4,148,93,55,62.83783783783784,2.473343295844148,1.4808362369338024,39.03192584963953,-16.48535564853556,6.4121836278232704,-4.186877629138729,1.5314953518577765
N22_d15_p6_v2.0,N22-V型反转,4,43,27,16,62.7906976744186,1.0863339658998248,0.5181347150259086,15.038381018841584,-16.48535564853556,3.994579589893383,-3.8213305245893063,1.0453373672309323
N22_d20_p5_v1.5,N22-V型反转,4,129,81,48,62.7906976744186,2.2842524521265073,1.329144514258096,39.03192584963953,-16.48535564853556,6.0827555041738455,-4.12572144820338,1.4743495363272021
N22_d18_p5_v1.5,N22-V型反转,4,102,64,38,62.745098039215684,2.2218559711258807,1.857142857142846,39.03192584963953,-16.48535564853556,6.104160165487114,-4.316761619377249,1.4140600532784855
N22_d18_p6_v1.3,N22-V型反转,4,110,69,41,62.727272727272734,2.175804913403189,1.4550928248870942,39.03192584963953,-16.48535564853556,6.148134778476442,-4.509335591232288,1.3634236472509493
N22_d20_p5_v1.3,N22-V型反转,4,147,92,55,62.585034013605444,2.797902588478716,1.329144514258096,41.2987012987013,-16.48535564853556,6.950099162503178,-4.147589862616748,1.675695860178013
N22_d10_p2_v1.2,N22-V型反转,4,16,10,6,62.5,-0.5205777440734363,1.329144514258096,8.770053475935846,-13.051305130513047,3.8844146546592007,-7.862231741961164,0.4940600559924818
