name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl
N22_d15_p4_v2.0,N22-V型反转,2,45,26,19,57.77777777777777,0.5906185083757584,1.1844331641285955,16.613076098606648,-12.384937238493709,3.5738315836852643,-3.4916730683635677,1.023529841916214
N22_d15_p5_v1.2,N22-V型反转,2,81,46,35,56.79012345679012,0.6608763392007092,1.1844331641285955,16.613076098606648,-12.384937238493709,3.7745682792924953,-3.4314044963484958,1.1000067999296423
N22_d15_p5_v1.3,N22-V型反转,2,76,43,33,56.57894736842105,0.4970625288420064,1.1844331641285955,16.613076098606648,-12.384937238493709,3.4677842456897876,-3.37387789008086,1.0278333593177782
N22_d15_p5_v1.5,N22-V型反转,2,69,42,27,60.86956521739131,0.6774944098897919,1.2991573033707793,16.613076098606648,-12.384937238493709,3.497820546293875,-3.7096795800721143,0.9428902067670974
N22_d15_p5_v1.8,N22-V型反转,2,56,35,21,62.5,0.8675202637354106,1.4390243902439037,16.613076098606648,-12.384937238493709,3.4797299390477563,-3.486162528451833,0.9981548222862308
N22_d15_p5_v2.0,N22-V型反转,2,45,26,19,57.77777777777777,0.5906185083757584,1.1844331641285955,16.613076098606648,-12.384937238493709,3.5738315836852643,-3.4916730683635677,1.023529841916214
N22_d15_p6_v1.2,N22-V型反转,2,78,44,34,56.41025641025641,0.6166976835502035,1.1844331641285955,16.613076098606648,-12.384937238493709,3.7288111857085795,-3.4107433192429895,1.0932547062897084
N22_d15_p6_v1.3,N22-V型反转,2,73,41,32,56.16438356164384,0.44312586347467003,1.0147601476014678,16.613076098606648,-12.384937238493709,3.403713997277648,-3.350127682960396,1.0159953050714472
N22_d15_p6_v1.5,N22-V型反转,2,66,40,26,60.60606060606061,0.6260386382432435,1.2991573033707793,16.613076098606648,-12.384937238493709,3.433650356701636,-3.693364005538899,0.9296810039715085
N22_d15_p6_v1.8,N22-V型反转,2,53,33,20,62.264150943396224,0.8141994454875737,1.2991573033707793,16.613076098606648,-12.384937238493709,3.400851490618005,-3.4537764289776396,0.9846762118371105
N22_d15_p6_v2.0,N22-V型反转,2,43,25,18,58.139534883720934,0.5703162461154335,1.1844331641285955,16.613076098606648,-12.384937238493709,3.469260094557427,-3.4559946544984483,1.0038383855836444
N22_d18_p2_v1.2,N22-V型反转,2,218,115,103,52.752293577981646,0.7645464457200933,0.660066006600668,16.613076098606648,-13.827993254637427,4.4815630156770325,-3.3855205984065875,1.3237441289786578
N22_d18_p2_v1.3,N22-V型反转,2,195,103,92,52.820512820512825,0.7605861250913194,0.4366812227074135,16.613076098606648,-13.827993254637427,4.426966073171918,-3.344165338520655,1.3237880382822989
