name,cat,hold_days,signals,wins,losses,wr,avg,avg_w,avg_l,pl
N22_d12_p5_v1.8,N22-V型反转,2,21,13,8,61.904761904761905,0.5594578219798771,3.2483560434984216,-3.810001787987759,0.8525864879486136
N22_d12_p5_v2.0,N22-V型反转,2,18,11,7,61.111111111111114,0.6153159973531663,3.680873106839599,-4.201988031839799,0.8759837198365281
N22_d12_p6_v1.2,N22-V型反转,2,33,19,14,57.57575757575758,1.035673807534068,4.341703357559162,-3.451080581785703,1.2580706983412775
N22_d12_p6_v1.3,N22-V型反转,2,28,16,12,57.14285714285714,0.6579644416199741,3.6235590944268843,-3.2961617621225723,1.0993268401043168
N22_d12_p6_v1.5,N22-V型反转,2,26,16,10,61.53846153846154,0.8481215621030171,3.6235590944268843,-3.5925784896151702,1.008623501170891
N22_d12_p6_v1.8,N22-V型反转,2,21,13,8,61.904761904761905,0.5594578219798771,3.2483560434984216,-3.810001787987759,0.8525864879486136
N22_d12_p6_v2.0,N22-V型反转,2,18,11,7,61.111111111111114,0.6153159973531663,3.680873106839599,-4.201988031839799,0.8759837198365281
N22_d15_p2_v1.2,N22-V型反转,2,139,77,62,55.39568345323741,0.5731849691048079,3.80685932233854,-3.4428299534596665,1.1057355064873489
N22_d15_p2_v1.3,N22-V型反转,2,121,67,54,55.371900826446286,0.5173857468425272,3.6058322252209174,-3.3145756244788083,1.0878714604038962
N22_d15_p2_v1.5,N22-V型反转,2,102,58,44,56.86274509803921,0.5591060170562204,3.7298054230453928,-3.620452290838598,1.0302042737818997
N22_d15_p2_v1.8,N22-V型反转,2,69,41,28,59.42028985507246,0.8805609791428836,3.758624502866872,-3.3337463234529556,1.1274476634364443
N22_d15_p2_v2.0,N22-V型反转,2,54,31,23,57.407407407407405,0.7326460321720542,3.9646202261788925,-3.6234930988806404,1.094143170137024
N22_d15_p3_v1.2,N22-V型反转,2,109,63,46,57.798165137614674,0.7182535904139683,3.7690335647026036,-3.4599885482856854,1.0893196645318495
N22_d15_p3_v1.3,N22-V型反转,2,97,55,42,56.70103092783505,0.5103094729959587,3.4662306587596974,-3.360539698837508,1.0314505910936718
N22_d15_p3_v1.5,N22-V型反转,2,82,47,35,57.3170731707317,0.4683725648833845,3.5678368933256808,-3.693765247596271,0.9659078620785285
N22_d15_p3_v1.8,N22-V型反转,2,62,37,25,59.67741935483871,0.8596326068388819,3.6664448735209314,-3.2944495478505513,1.1129157755392207
N22_d15_p3_v2.0,N22-V型反转,2,48,27,21,56.25,0.6600986069536655,3.868817878306607,-3.4653975990715455,1.1164138508502304
N22_d15_p4_v1.2,N22-V型反转,2,94,55,39,58.51063829787234,0.7355061424575804,3.8605474551083794,-3.6716034010243144,1.0514609105197346
N22_d15_p4_v1.3,N22-V型反转,2,84,48,36,57.14285714285714,0.5178097586068886,3.538372156347124,-3.509606771713424,1.0081961845029312
N22_d15_p4_v1.5,N22-V型反转,2,75,45,30,60.0,0.49483583518577234,3.3840424379976644,-3.838974069032066,0.8814965605774188
N22_d15_p4_v1.8,N22-V型反转,2,57,36,21,63.1578947368421,0.952481217550611,3.447777743939248,-3.325169970544196,1.0368726334236038
N22_d15_p4_v2.0,N22-V型反转,2,44,26,18,59.09090909090909,0.68588502068523,3.5738315836852643,-3.485593348092599,1.0253151262297857
N22_d15_p5_v1.2,N22-V型反转,2,80,46,34,57.49999999999999,0.7141511438562305,3.7745682792924953,-3.4264132158516576,1.101609187657275
N22_d15_p5_v1.3,N22-V型反转,2,75,43,32,57.333333333333336,0.551704803003113,3.4677842456897876,-3.366776948107106,1.0300011848540993
N22_d15_p5_v1.5,N22-V型反转,2,68,42,26,61.76470588235294,0.7404150340534799,3.497820546293875,-3.7138554087963884,0.9418300287106418
N22_d15_p5_v1.8,N22-V型反转,2,55,35,20,63.63636363636363,0.9487680509531634,3.4797299390477563,-3.4804152532123753,0.999803094138268
N22_d15_p5_v2.0,N22-V型反转,2,44,26,18,59.09090909090909,0.68588502068523,3.5738315836852643,-3.485593348092599,1.0253151262297857
N22_d15_p6_v1.2,N22-V型反转,2,77,44,33,57.14285714285714,0.6714743811708683,3.7288111857085795,-3.40497469154608,1.0951068725904263
N22_d15_p6_v1.3,N22-V型反转,2,72,41,31,56.94444444444444,0.499295778706832,3.403713997277648,-3.3420315426287637,1.0184565746499108
N22_d15_p6_v1.5,N22-V型反转,2,65,40,25,61.53846153846154,0.6910716639583856,3.433650356701636,-3.697054244430815,0.9287530367924769
N22_d15_p6_v1.8,N22-V型反转,2,52,33,19,63.46153846153846,0.8991092046938925,3.400851490618005,-3.44602213401641,0.9868919462378039
N22_d15_p6_v2.0,N22-V型反转,2,42,25,17,59.523809523809526,0.6696358718143961,3.469260094557427,-3.447458573395945,1.0063239399973432
N22_d18_p2_v1.2,N22-V型反转,2,217,115,102,52.995391705069125,0.7846646691254441,4.4815630156770325,-3.3834069961042896,1.3245710672222342
N22_d18_p2_v1.3,N22-V型反转,2,194,103,91,53.09278350515464,0.783069084670352,4.426966073171918,-3.3413417924248274,1.3249066836587369
N22_d18_p2_v1.5,N22-V型反转,2,158,86,72,54.43037974683544,0.8012596587352958,4.38381658417342,-3.477905557760242,1.26047602827852
N22_d18_p2_v1.8,N22-V型反转,2,104,58,46,55.769230769230774,0.7644097267230522,4.156277058429096,-3.512292561080222,1.1833516104224568
N22_d18_p2_v2.0,N22-V型反转,2,83,44,39,53.01204819277109,0.5778013296983558,4.506796810513079,-3.8549115204515885,1.1691051238408514
N22_d18_p3_v1.2,N22-V型反转,2,173,94,79,54.33526011560693,0.9215266768511834,4.532126360996879,-3.374629909347493,1.342999523723535
N22_d18_p3_v1.3,N22-V型反转,2,157,84,73,53.503184713375795,0.7962801816737087,4.420816869682628,-3.3744195689118976,1.3100969750208473
N22_d18_p3_v1.5,N22-V型反转,2,128,69,59,53.90625,0.6525468107375166,4.290224089646531,-3.6016859391730254,1.191171068799963
N22_d18_p3_v1.8,N22-V型反转,2,95,53,42,55.78947368421052,0.7355990197294842,4.065986101331171,-3.4670322975297876,1.1727569149638812
N22_d18_p3_v2.0,N22-V型反转,2,75,39,36,52.0,0.5056551865786725,4.4290321447241014,-3.7446698514122088,1.1827563765210978
N22_d18_p4_v1.2,N22-V型反转,2,147,82,65,55.78231292517006,1.0851375514282826,4.791359043651,-3.5904034079911464,1.3344904455546391
N22_d18_p4_v1.3,N22-V型反转,2,135,74,61,54.81481481481482,0.9650245213001405,4.667287454163607,-3.526245266108,1.3235855993973449
N22_d18_p4_v1.5,N22-V型反转,2,116,65,51,56.03448275862068,0.7495470772149769,4.260591657318759,-3.7253136621329817,1.1436866915735886
N22_d18_p4_v1.8,N22-V型反转,2,85,50,35,58.82352941176471,0.8893111354672348,4.0055644329722275,-3.5624792895398985,1.1243755001561158
N22_d18_p4_v2.0,N22-V型反转,2,69,38,31,55.072463768115945,0.6331368009916142,4.241941897520485,-3.7905597689470025,1.119080599195742
N22_d18_p5_v1.2,N22-V型反转,2,124,67,57,54.03225806451613,0.9727573440629483,4.746277947853982,-3.4627844182879177,1.370653605459116
N22_d18_p5_v1.3,N22-V型反转,2,117,63,54,53.84615384615385,0.8655754475567183,4.578750488546776,-3.4664621002650167,1.320871354167329
N22_d18_p5_v1.5,N22-V型反转,2,101,57,44,56.43564356435643,0.7641777092114246,4.197560308436119,-3.6836133852387465,1.139522493119636
N22_d18_p5_v1.8,N22-V型反转,2,79,46,33,58.22784810126582,0.8370403357161489,4.069627539778631,-3.6689903123709473,1.1091954988425106
N22_d18_p5_v2.0,N22-V型反转,2,66,36,30,54.54545454545454,0.618326250604692,4.303529301910894,-3.80391741096275,1.1313414138562212
N22_d18_p6_v1.2,N22-V型反转,2,115,61,54,53.04347826086957,0.8784303720085339,4.821539247698397,-3.5758222468263146,1.3483721826435042
N22_d18_p6_v1.3,N22-V型反转,2,109,58,51,53.21100917431193,0.7953562653787878,4.648249583220834,-3.5863655470690308,1.2960891805966717
N22_d18_p6_v1.5,N22-V型反转,2,94,53,41,56.38297872340425,0.726434529340606,4.265651399900595,-3.848650693578403,1.1083498450555598
N22_d18_p6_v1.8,N22-V型反转,2,73,42,31,57.534246575342465,0.783153299098113,4.143367939135471,-3.7693955680492746,1.099212821879486
N22_d18_p6_v2.0,N22-V型反转,2,62,33,29,53.2258064516129,0.5667150570341007,4.397574889304879,-3.792539234860234,1.1595331299102414
S2_d10_p2_v1.3,S2-底部放量反转,2,16,10,6,62.5,2.111496387163498,4.564663894569256,-1.9771161251794327,2.3087485031538
S2_d15_p2_v1.3,S2-底部放量反转,2,289,150,139,51.903114186851205,0.4064882952650724,3.7301359948719544,-3.1801818841668124,1.1729316531998377
S2_d15_p2_v1.5,S2-底部放量反转,2,244,131,113,53.68852459016394,0.5466675708486078,3.928236442109391,-3.373558288754603,1.164419318084335
S2_d15_p2_v1.8,S2-底部放量反转,2,187,104,83,55.61497326203209,0.6461987946220424,3.8452688104547,-3.3622744782285165,1.1436510717235253
S2_d15_p2_v2.0,S2-底部放量反转,2,156,86,70,55.12820512820513,0.6367807789156127,3.9385935853954717,-3.4197320976167855,1.151725770606499
S2_d15_p2_v2.5,S2-底部放量反转,2,115,62,53,53.91304347826087,0.6138213690907296,4.029655881698053,-3.3820605135819886,1.191479533117575
S2_d15_p3_v1.3,S2-底部放量反转,2,241,125,116,51.867219917012456,0.3659434626471534,3.7159562153527363,-3.243984072595932,1.1454915104990384
S2_d15_p3_v1.5,S2-底部放量反转,2,209,111,98,53.110047846889955,0.42486354028129086,3.859268365170583,-3.4651255981137243,1.1137455933116578
S2_d15_p3_v1.8,S2-底部放量反转,2,170,94,76,55.294117647058826,0.5686302088080293,3.821687441381293,-3.45488794726943,1.1061682751250335
S2_d15_p3_v2.0,S2-底部放量反转,2,141,76,65,53.90070921985816,0.5292975056680629,3.9217067308758358,-3.437211742267178,1.140955816789188
S2_d15_p3_v2.5,S2-底部放量反转,2,104,55,49,52.88461538461539,0.4961673435734044,3.931424246386146,-3.3597332616245716,1.1701596347815832
S2_d15_p4_v1.3,S2-底部放量反转,2,206,108,98,52.42718446601942,0.3944090277209039,3.8398240076092214,-3.4025789092988763,1.1285040288457093
S2_d15_p4_v1.5,S2-底部放量反转,2,186,100,86,53.76344086021505,0.41464338848986093,3.865834966567218,-3.598370074390789,1.0743294565725596
S2_d15_p4_v1.8,S2-底部放量反转,2,157,86,71,54.77707006369427,0.5110957250243187,3.81971080489238,-3.4965225407313616,1.0924313401089694
