name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl,composite,wilson_lower
N36_cd3_p5_v1.3,N36-连续下跌反弹,4,417,217,200,52.038369304556355,0.8778429035273663,0.35511363636364646,41.430948419301174,-16.48535564853556,5.762580216760869,-4.42209708133098,1.3031329052202592,50.86212613746341,47.246570905240155
N36_cd3_p5_v1.5,N36-连续下跌反弹,4,364,190,174,52.197802197802204,0.8515193285846769,0.36496350364962904,41.430948419301174,-16.48535564853556,5.559148800026902,-4.288995611495906,1.296142338109783,50.649448078118944,47.0700333134776
N36_cd3_p5_v1.8,N36-连续下跌反弹,4,303,152,151,50.165016501650165,0.6402541518508762,0.05672149744753163,31.32275132275133,-16.48535564853556,5.529494025176393,-4.281364793483414,1.291526018430556,48.78912248142089,44.56838170327263
N37_y0.5_t1.3_p1,N37-缩量末阳突破,4,110,45,65,40.909090909090914,-0.5368555880732729,-0.959367945823919,43.96946564885496,-29.759654334323514,9.170590695859229,-7.257395323103465,1.263620112668415,39.90030829439661,32.17882494780518
N37_y0.5_t1.3_p2,N37-缩量末阳突破,4,106,44,62,41.509433962264154,-0.5198009713287048,-0.959367945823919,43.96946564885496,-29.759654334323514,9.19965742836528,-7.417481125950242,1.240267049171187,40.23276851570138,32.586734939167684
N37_y0.5_t1.3_p3,N37-缩量末阳突破,4,102,43,59,42.15686274509804,-0.3850547230988277,-0.9041591320072317,43.96946564885496,-29.759654334323514,9.184758141278065,-7.359664098831139,1.2479860518004873,40.59484395674082,33.02943233598244
N37_y0.5_t1.5_p1,N37-缩量末阳突破,4,90,35,55,38.88888888888889,-0.6197037672332483,-2.349689011748446,43.96946564885496,-29.759654334323514,9.732987542915781,-7.207780055509905,1.3503446925347715,38.01099937613224,29.469758863910062
N37_y0.5_t1.5_p2,N37-缩量末阳突破,4,86,34,52,39.53488372093023,-0.6025363642299422,-2.349689011748446,43.96946564885496,-29.759654334323514,9.78714439813116,-7.395789170389127,1.3233401024080587,38.35568398487273,29.862264637556247
N37_y0.5_t1.5_p3,N37-缩量末阳突破,4,82,33,49,40.243902439024396,-0.4389610502318628,-1.6523959741625238,43.96946564885496,-29.759654334323514,9.785532811010423,-7.324844671068505,1.3359372451488405,38.739424110015754,30.29727590517658
N37_y0.5_t1.8_p1,N37-缩量末阳突破,4,65,22,43,33.84615384615385,-1.594715880206048,-2.5541795665634637,43.96946564885496,-29.759654334323514,9.781016456933903,-7.4148580061846285,1.3191104197512205,33.71284841148617,23.53333876864659
N37_y0.5_t1.8_p2,N37-缩量末阳突破,4,64,22,42,34.375,-1.6074238999327242,-2.5541795665634637,43.96946564885496,-29.759654334323514,9.781016456933903,-7.572797420196197,1.2915988523406843,34.04652498325616,23.92297503546903
N37_y0.5_t1.8_p3,N37-缩量末阳突破,4,63,22,41,34.92063492063492,-1.5012187988136068,-2.5541795665634637,43.96946564885496,-29.759654334323514,9.781016456933903,-7.55510113116593,1.2946241601698403,34.391387533829274,24.325819396354188
N37_y0.5_t2.0_p1,N37-缩量末阳突破,4,58,18,40,31.03448275862069,-2.0308064005959916,-2.5584795321637377,43.96946564885496,-29.759654334323514,10.750732754597456,-7.782499020433043,1.3813985361734424,31.47652386889573,20.621934414805676
N37_y0.5_t2.0_p2,N37-缩量末阳突破,4,58,18,40,31.03448275862069,-2.0308064005959916,-2.5584795321637377,43.96946564885496,-29.759654334323514,10.750732754597456,-7.782499020433043,1.3813985361734424,31.47652386889573,20.621934414805676
N37_y0.5_t2.0_p3,N37-缩量末阳突破,4,57,18,39,31.57894736842105,-1.9208495783180772,-2.5584795321637377,43.96946564885496,-29.759654334323514,10.750732754597456,-7.769272193509862,1.3837503033525052,31.81676375410004,21.00412363168152
N37_y0.6_t1.3_p1,N37-缩量末阳突破,4,229,97,132,42.35807860262008,-0.4614528243072204,-0.959367945823919,43.96946564885496,-29.759654334323514,7.940266961995832,-6.635443879393552,1.1966444304735095,42.65709552934715,36.13598710212381
N37_y0.6_t1.3_p2,N37-缩量末阳突破,4,220,94,126,42.72727272727273,-0.4930585897784263,-0.9041591320072317,43.96946564885496,-29.759654334323514,7.8558617798654256,-6.721618230623839,1.1687456071328104,42.820061499747744,36.370331573352985
N37_y0.6_t1.3_p3,N37-缩量末阳突破,4,214,92,122,42.99065420560748,-0.426723031655597,-0.8715862870424251,43.96946564885496,-29.759654334323514,7.879315325224692,-6.690292940122697,1.1777235161066337,42.93859683066604,36.53885842590709
N37_y0.6_t1.5_p1,N37-缩量末阳突破,4,172,72,100,41.86046511627907,-0.7761879670539855,-1.243781094527363,43.96946564885496,-29.759654334323514,7.944741195875262,-7.055256964363038,1.126073966689678,41.627629559901436,34.74434939739834
N37_y0.6_t1.5_p2,N37-缩量末阳突破,4,166,70,96,42.168674698795186,-0.7695546955463842,-1.243781094527363,43.96946564885496,-29.759654334323514,8.030637142498499,-7.186361244120772,1.117483086321111,41.75895335350428,34.91674579374091
N37_y0.6_t1.5_p3,N37-缩量末阳突破,4,162,69,93,42.592592592592595,-0.6908812238020835,-0.9708737864077555,43.96946564885496,-29.759654334323514,8.004409756547528,-7.142226144706628,1.1207163697105693,41.99771160306424,35.23629118831288
N37_y0.6_t1.8_p1,N37-缩量末阳突破,4,125,50,75,40.0,-1.1014231445988658,-1.243781094527363,43.96946564885496,-29.759654334323514,7.711804731828323,-6.976908395550324,1.105332662350375,39.56710105296016,31.833626871118838
N37_y0.6_t1.8_p2,N37-缩量末阳突破,4,122,49,73,40.16393442622951,-1.1073233714081232,-1.243781094527363,43.96946564885496,-29.759654334323514,7.828676018956839,-7.1054599485024115,1.1017831464389378,39.62422021200034,31.89362104743908
N37_y0.6_t1.8_p3,N37-缩量末阳突破,4,121,49,72,40.49586776859504,-1.0478934383582965,-1.243781094527363,43.96946564885496,-29.759654334323514,7.828676018956839,-7.088892096808874,1.104358186306854,39.837049082051955,32.17232751784563
N37_y0.6_t2.0_p1,N37-缩量末阳突破,4,106,39,67,36.79245283018868,-1.1701914677927836,-1.7835909631391256,43.96946564885496,-29.759654334323514,8.526711634260124,-6.814657452569851,1.2512311431067817,36.930881723248554,28.22400657330466
